st,year,div_rate,lfdivlaw,unilateral,years_unilateral
"IA",1996,3.475546,1970,1,15
"IA",1997,3.435753,1970,1,15
"IA",1998,3.336566,1970,1,15
"ID",1956,3.6,1971,0,-99
"ID",1957,3.7,1971,0,-99
"ID",1958,3.7,1971,0,-99
"ID",1959,4,1971,0,-99
"ID",1960,3.9,1971,0,-99
"ID",1961,3.9,1971,0,-99
"ID",1962,3.7,1971,0,-99
"ID",1963,4.1,1971,0,-99
"ID",1964,4.2,1971,0,-99
"ID",1965,4.1,1971,0,-99
"ID",1966,4.4,1971,0,-99
"ID",1967,4.5,1971,0,-99
"ID",1968,4.7,1971,0,-99
"ID",1969,4.9,1971,0,-99
"ID",1970,5.1,1971,0,-99
"ID",1971,5,1971,1,1
"ID",1972,5,1971,1,1
"ID",1973,5.6,1971,1,3
"ID",1974,6,1971,1,3
"ID",1975,6.3,1971,1,5
"ID",1976,6.6,1971,1,5
"ID",1977,6.8,1971,1,7
"ID",1978,7,1971,1,7
"ID",1979,6.9,1971,1,9
"ID",1980,7,1971,1,9
"ID",1981,7,1971,1,11
"ID",1982,6.3,1971,1,11
"ID",1983,6.3,1971,1,13
"ID",1984,6.2,1971,1,13
"ID",1985,6.2,1971,1,15
"ID",1986,6.1,1971,1,15
"ID",1987,5.9,1971,1,15
"ID",1988,6,1971,1,15
"ID",1989,6.3,1971,1,15
"ID",1990,6.4,1971,1,15
"ID",1991,6.256527,1971,1,15
"ID",1992,6.28229,1971,1,15
"ID",1993,6.424786,1971,1,15
"ID",1994,6.101497,1971,1,15
"ID",1995,5.83691,1971,1,15
"ID",1996,5.893714,1971,1,15
"ID",1997,5.903499,1971,1,15
"ID",1998,5.701413,1971,1,15
"IL",1956,,2000,0,-99
"IL",1957,,2000,0,-99
"IL",1958,2.1,2000,0,-99
"IL",1959,2.3,2000,0,-99
"IL",1960,2.2,2000,0,-99
"IL",1961,2.6,2000,0,-99
"IL",1962,1.8,2000,0,-99
"IL",1963,2,2000,0,-99
"IL",1964,2,2000,0,-99
"IL",1965,2.3,2000,0,-99
"IL",1966,2.6,2000,0,-99
"IL",1967,2.6,2000,0,-99
"IL",1968,2.9,2000,0,-99
"IL",1969,3.3,2000,0,-99
"IL",1970,3.3,2000,0,-99
"IL",1971,3.6,2000,0,-99
"IL",1972,3.8,2000,0,-99
"IL",1973,4,2000,0,-99
"IL",1974,4.3,2000,0,-99
"IL",1975,4.5,2000,0,-99
"IL",1976,4.6,2000,0,-99
"IL",1977,4.3,2000,0,-99
"IL",1978,4.4,2000,0,-99
"IL",1979,4.6,2000,0,-99
"IL",1980,4.5,2000,0,-99
"IL",1981,4.5,2000,0,-99
"IL",1982,4.3,2000,0,-99
"IL",1983,4.4,2000,0,-99
"IL",1984,4.2,2000,0,-99
"IL",1985,4.2,2000,0,-99
"IL",1986,4,2000,0,-99
"IL",1987,4.1,2000,0,-99
"IL",1988,4,2000,0,-99
"IL",1989,4,2000,0,-99
"IL",1990,4,2000,0,-99
"IL",1991,,2000,0,-99
"IL",1992,3.747251,2000,0,-99
"IL",1993,3.701011,2000,0,-99
"IL",1994,3.661843,2000,0,-99
"IL",1995,3.264637,2000,0,-99
"IL",1996,3.379904,2000,0,-99
"IL",1997,3.330722,2000,0,-99
"IL",1998,3.359549,2000,0,-99
"IN",1956,2.7,1973,0,-99
"IN",1957,2.792387,1973,0,-99
"IN",1958,2.673986,1973,0,-99
"IN",1959,1.712317,1973,0,-99
"IN",1960,2.7,1973,0,-99
"IN",1961,3.2,1973,0,-99
"IN",1962,3.3,1973,0,-99
"IN",1963,3.2,1973,0,-99
"IN",1964,3.3,1973,0,-99
"IN",1965,3.9,1973,0,-99
"IN",1966,3.6,1973,0,-99
"IN",1967,3.6,1973,0,-99
"IN",1968,4.7,1973,0,-99
"IN",1969,4.6,1973,0,-99
"IN",1970,,1973,0,-99
"IN",1971,,1973,0,-99
"IN",1972,,1973,0,-99
"IN",1973,,1973,1,1
"IN",1974,6.3,1973,1,1
"IN",1975,,1973,1,3
"IN",1976,5.8,1973,1,3
"IN",1977,6.2,1973,1,5
"IN",1978,7.4,1973,1,5
"IN",1979,7.6,1973,1,7
"IN",1980,7.3,1973,1,7
"IN",1981,6.4,1973,1,9
"IN",1982,6.5,1973,1,9
"IN",1983,6.2,1973,1,11
"IN",1984,5.9,1973,1,11
"IN",1985,6.4,1973,1,13
"IN",1986,6.4,1973,1,13
"IN",1987,6.4,1973,1,15
"IN",1988,,1973,1,15
"IN",1989,6.3,1973,1,15
"IN",1990,7.1,1973,1,15
"IN",1991,,1973,1,15
"IN",1992,,1973,1,15
"IN",1993,,1973,1,15
"IN",1994,,1973,1,15
"IN",1995,,1973,1,15
"IN",1996,,1973,1,15
"IN",1997,,1973,1,15
"IN",1998,,1973,1,15
"KS",1956,2.3,1969,0,-99
"KS",1957,2.3,1969,0,-99
"KS",1958,2.2,1969,0,-99
"KS",1959,2.3,1969,0,-99
"KS",1960,2.2,1969,0,-99
"KS",1961,2.3,1969,0,-99
"KS",1962,2.4,1969,0,-99
"KS",1963,2.4,1969,0,-99
"KS",1964,2.6,1969,0,-99
"KS",1965,2.6,1969,0,-99
"KS",1966,2.7,1969,0,-99
"KS",1967,3,1969,0,-99
"KS",1968,3.1,1969,0,-99
"KS",1969,3.4,1969,1,1
"KS",1970,3.9,1969,1,1
"KS",1971,4.2,1969,1,3
"KS",1972,4.4,1969,1,3
"KS",1973,4.6,1969,1,5
"KS",1974,5.1,1969,1,5
"KS",1975,5.5,1969,1,7
