czone,has_insurance,cs_frac_black,cs_frac_hisp,gt_hs_educ,has_medicaid,hosp_beds,inctot,median_house_value,occupancy,physical_disab,poor_share,pymt_charity_patients,reimb_penroll_adj10,share_hosp_forprofit,share_hosp_teaching,uncomp_charity_patients
2600,0.8733612390862419,0.5668332672119141,0.010650461912155152,0.2957034707069397,0.122535625434449,295.30615234375,10.130229546591206,85357.86539469968,0.4768665134906769,0.10464700311422348,0.21564559638500216,1142591.8431803386,8838.58984375,0.25,0,7132116.104166667
2700,0.8918476707563643,0.1821642303466797,0.021280908584594728,0.3165932893753052,0.1237676776505524,1279.664144674937,10.122219225563336,110500.86254760428,0.4923279285430908,0.11303918063640594,0.14752499759197235,2044883.2529296875,11015.1171875,0.1976882815361023,0,34598360.84375
2800,0.9039246715539272,0.318144474029541,0.01342682957649231,0.31883102655410767,0.11994741468833234,343.8456624348958,10.070277800284284,76138.13571286737,0.40053977568944293,0.10855021327733994,0.20837713778018951,284921.9583333333,10054.6650390625,0.16666666666666666,0.08333333333333333,5313424.416666667
2900,0.8655260058840816,0.2976568412780762,0.010955523252487186,0.3098631799221039,0.1424994175351644,645.8979695638021,10.125038929463184,95157.23558150364,0.425919105609258,0.10946109890937804,0.20718158781528473,443381.5293324788,11397.916015625,0.30979787309964496,0.16666666666666666,14995043.681640623
3001,0.868668232241361,0.5979161834716797,0.011485340595245358,0.30108603835105896,0.1911809252180307,82.33333333333333,10.00050436700872,63372.44660633483,0.24432055155436197,0.10524269193410872,0.3185765743255615,1680.349973042806,10330.9267578125,0,0,749763.6164550781
3002,0.8749961094826275,0.5851607513427735,0.03559903383255005,0.2884446084499359,0.1931181795003533,33.333333333333336,9.977878701533262,70892.4380197379,0.4505407015482585,0.11239096522331238,0.33769336342811584,16497.033121744793,11858.53515625,0.16666666666666666,0,57886.442708333336
3003,0.9158119828746044,0.4445330810546875,0.012789081335067749,0.33525800704956055,0.16333865909739942,2772.485290527344,10.16642444022931,109557.29962646696,0.4560747444629669,0.10037056356668472,0.17466986179351807,3050567.9734509788,10628.478515625,0.29037978251775104,0.2857142984867096,86965713.35286458
3101,0.865661447564157,0.4430706024169922,0.007731510996818542,0.30038920044898987,0.1894757676057844,274.1844736735026,10.047250930611115,76124.29559244419,0.39133965969085693,0.11358357965946198,0.2632019817829132,29685.83468945821,10734.82421875,0,0,1375273.53125
3102,0.890494026093275,0.3024297714233398,0.006849905252456665,0.3163306415081024,0.18032785034617807,142.31963348388672,10.163830805656817,82731.27014961981,0.2813766598701477,0.1031419038772583,0.19294868409633636,275510.6208902995,10905.55078125,0,0,945334.6328125
3201,0.863793478560545,0.18546148300170898,0.008650107383728027,0.217202290892601,0.162545758042357,74,10.047294540826792,68440.00373831776,0.25308963159720105,0.12443355470895769,0.22871282696723935,46501.864583333336,13634.87109375,0,0,236330.46875
3202,0.8569110214335531,0.4635694122314453,0.010064175128936767,0.2527291774749756,0.19269904202051025,297,10.041517704810811,74995.16937478412,0.4789744218190511,0.11495190113782884,0.2754390239715576,156890.33333333334,11671.8525390625,0.1959700733423233,0,1061762.5218098958
3203,0.8748444010904375,0.5634955215454102,0.011301696300506592,0.29452279210090637,0.17334066307983242,333.31141153971356,10.0889664950137,90427.98490667384,0.3370898167292277,0.106582909822464,0.25107747316360474,228108.46744791663,13013.197265625,0.3333333333333333,0,2416466.8333333335
3300,0.92619386231143,0.3708242034912109,0.042614927291870115,0.29525554180145264,0.18888793143096952,3660.696236292521,10.312588630039278,133024.38376268538,0.45946256319681805,0.08592166006565094,0.1857541501522064,5788372.53314209,11663.38671875,0.21160270273685455,1.25,123835316.44010416
